0.0125664,0.999921,-0.0125659
0.0251327,0.999684,-0.0251298
0.0376991,0.999289,-0.0376897
0.0502655,0.998737,-0.0502437
0.0628319,0.998027,-0.0627897
0.0753982,0.997159,-0.0753258
0.0879646,0.996134,-0.08785
0.100531,0.994951,-0.10036
0.113097,0.993611,-0.112855
0.125664,0.992115,-0.125332
0.13823,0.990462,-0.137788
0.150796,0.988652,-0.150224
0.163363,0.986686,-0.162635
0.175929,0.984565,-0.175021
0.188496,0.982288,-0.187379
0.201062,0.979856,-0.199707
0.213628,0.977269,-0.212004
0.226195,0.974528,-0.224268
0.238761,0.971632,-0.236496
0.251327,0.968584,-0.248687
0.263894,0.965383,-0.260838
0.27646,0.962029,-0.272948
0.289027,0.958523,-0.285016
0.301593,0.954866,-0.297038
0.314159,0.951058,-0.309013
0.326726,0.9471,-0.32094
0.339292,0.942992,-0.332815
0.351858,0.938735,-0.344639
0.364425,0.934331,-0.356407
0.376991,0.929778,-0.36812
0.389557,0.925079,-0.379774
0.402124,0.920234,-0.391369
0.41469,0.915243,-0.402901
0.427257,0.910108,-0.41437
0.439823,0.90483,-0.425774
0.452389,0.899408,-0.43711
0.464956,0.893844,-0.448378
0.477522,0.888139,-0.459574
0.490088,0.882294,-0.470698
0.502655,0.87631,-0.481748
0.515221,0.870187,-0.492721
0.527788,0.863927,-0.503617
0.540354,0.85753,-0.514433
0.55292,0.850998,-0.525168
0.565487,0.844332,-0.535821
0.578053,0.837532,-0.546388
0.590619,0.8306,-0.556869
0.603186,0.823537,-0.567262
0.615752,0.816344,-0.577566
0.628319,0.809022,-0.587779
0.640885,0.801572,-0.597898
0.653451,0.793996,-0.607923
0.666018,0.786294,-0.617853
0.678584,0.778468,-0.627684
0.69115,0.770519,-0.637417
0.703717,0.762449,-0.647049
0.716283,0.754258,-0.656579
0.728849,0.745948,-0.666005
0.741416,0.73752,-0.675326
0.753982,0.728975,-0.68454
0.766549,0.720316,-0.693646
0.779115,0.711543,-0.702643
0.791681,0.702657,-0.711528
0.804248,0.693661,-0.720302
0.816814,0.684555,-0.728961
0.82938,0.675341,-0.737506
0.841947,0.66602,-0.745934
0.854513,0.656594,-0.754244
0.86708,0.647065,-0.762435
0.879646,0.637433,-0.770506
